date,Argentina Count_Person
1960,20349744
1961,20680653
1962,21020359
1963,21364017
1964,21708487
1965,22053661
1966,22403116
1967,22757014
1968,23112971
1969,23472028
1970,23842803
1971,24223379
1972,24612794
1973,25020588
1974,25449754
1975,25875558
1976,26290257
1977,26713780
1978,27146121
1979,27584134
1980,28024803
1981,28471285
1982,28922762
1983,29377137
1984,29832197
1985,30287112
1986,30748326
1987,31216453
1988,31690792
1989,32165766
1990,32637657
1991,33105763
1992,33568285
1993,34027240
1994,34488696
1995,34946110
1996,35389362
1997,35815971
1998,36233195
1999,36653031
2000,37070774
2001,37480493
2002,37885028
2003,38278164
2004,38668796
2005,39070501
2006,39476851
2007,39876111
2008,40273769
2009,40684338
2010,40788453
2011,41261490
2012,41733271
2013,42202935
2014,42669500
2015,43131966
2016,43590368
2017,44044811
2018,44494502
2019,44938712
2020,45376763
2021,45808747
2022,46234830
