Grupo quinquenal de edad;Sexo;País de nacimiento;Periodo;Total
Todas las edades;Total;Argentina;1 de enero de 2023;373.064
Todas las edades;Total;Argentina;1 de octubre de 2022;362.863
Todas las edades;Total;Argentina;1 de julio de 2022;351.444
Todas las edades;Total;Argentina;1 de abril de 2022;337.637
Todas las edades;Total;Argentina;1 de enero de 2022;327.475
Todas las edades;Total;Argentina;1 de octubre de 2021;319.799
Todas las edades;Total;Argentina;1 de julio de 2021;311.193
Todas las edades;Total;Argentina;1 de abril de 2021;305.776
Todas las edades;Total;Argentina;1 de enero de 2021;302.594
Todas las edades;Total;Argentina;1 de octubre de 2020;""
Todas las edades;Total;Argentina;1 de julio de 2020;296.790
Todas las edades;Total;Argentina;1 de abril de 2020;""
Todas las edades;Total;Argentina;1 de enero de 2020;289.783
Todas las edades;Total;Argentina;1 de octubre de 2019;""
Todas las edades;Total;Argentina;1 de julio de 2019;277.825
Todas las edades;Total;Argentina;1 de abril de 2019;""
Todas las edades;Total;Argentina;1 de enero de 2019;267.683
Todas las edades;Total;Argentina;1 de octubre de 2018;""
Todas las edades;Total;Argentina;1 de julio de 2018;260.788
Todas las edades;Total;Argentina;1 de abril de 2018;""
Todas las edades;Total;Argentina;1 de enero de 2018;256.917
Todas las edades;Total;Argentina;1 de octubre de 2017;""
Todas las edades;Total;Argentina;1 de julio de 2017;252.679
Todas las edades;Total;Argentina;1 de abril de 2017;""
Todas las edades;Total;Argentina;1 de enero de 2017;251.655
Todas las edades;Total;Argentina;1 de octubre de 2016;""
Todas las edades;Total;Argentina;1 de julio de 2016;250.360
Todas las edades;Total;Argentina;1 de abril de 2016;""
Todas las edades;Total;Argentina;1 de enero de 2016;249.119
Todas las edades;Total;Argentina;1 de octubre de 2015;""
Todas las edades;Total;Argentina;1 de julio de 2015;249.038
Todas las edades;Total;Argentina;1 de abril de 2015;""
Todas las edades;Total;Argentina;1 de enero de 2015;249.441
Todas las edades;Total;Argentina;1 de octubre de 2014;""
Todas las edades;Total;Argentina;1 de julio de 2014;251.384
Todas las edades;Total;Argentina;1 de abril de 2014;""
Todas las edades;Total;Argentina;1 de enero de 2014;253.673
Todas las edades;Total;Argentina;1 de octubre de 2013;""
Todas las edades;Total;Argentina;1 de julio de 2013;258.285
Todas las edades;Total;Argentina;1 de abril de 2013;""
Todas las edades;Total;Argentina;1 de enero de 2013;263.035
Todas las edades;Total;Argentina;1 de octubre de 2012;""
Todas las edades;Total;Argentina;1 de julio de 2012;267.057
Todas las edades;Total;Argentina;1 de abril de 2012;""
Todas las edades;Total;Argentina;1 de enero de 2012;270.948
Todas las edades;Total;Argentina;1 de octubre de 2011;""
Todas las edades;Total;Argentina;1 de julio de 2011;273.917
Todas las edades;Total;Argentina;1 de abril de 2011;""
Todas las edades;Total;Argentina;1 de enero de 2011;276.437
Todas las edades;Total;Argentina;1 de octubre de 2010;""
Todas las edades;Total;Argentina;1 de julio de 2010;279.823
Todas las edades;Total;Argentina;1 de abril de 2010;""
Todas las edades;Total;Argentina;1 de enero de 2010;282.553
Todas las edades;Total;Argentina;1 de octubre de 2009;""
Todas las edades;Total;Argentina;1 de julio de 2009;285.985
Todas las edades;Total;Argentina;1 de abril de 2009;""
Todas las edades;Total;Argentina;1 de enero de 2009;288.031
Todas las edades;Total;Argentina;1 de octubre de 2008;""
Todas las edades;Total;Argentina;1 de julio de 2008;287.224
Todas las edades;Total;Argentina;1 de abril de 2008;""
Todas las edades;Total;Argentina;1 de enero de 2008;282.237
Todas las edades;Total;Argentina;1 de octubre de 2007;""
Todas las edades;Total;Argentina;1 de julio de 2007;277.272
Todas las edades;Total;Argentina;1 de abril de 2007;""
Todas las edades;Total;Argentina;1 de enero de 2007;269.211
Todas las edades;Total;Argentina;1 de octubre de 2006;""
Todas las edades;Total;Argentina;1 de julio de 2006;262.632
Todas las edades;Total;Argentina;1 de abril de 2006;""
Todas las edades;Total;Argentina;1 de enero de 2006;254.273
Todas las edades;Total;Argentina;1 de octubre de 2005;""
Todas las edades;Total;Argentina;1 de julio de 2005;247.801
Todas las edades;Total;Argentina;1 de abril de 2005;""
Todas las edades;Total;Argentina;1 de enero de 2005;235.957
Todas las edades;Total;Argentina;1 de octubre de 2004;""
Todas las edades;Total;Argentina;1 de julio de 2004;224.241
Todas las edades;Total;Argentina;1 de abril de 2004;""
Todas las edades;Total;Argentina;1 de enero de 2004;212.410
Todas las edades;Total;Argentina;1 de octubre de 2003;""
Todas las edades;Total;Argentina;1 de julio de 2003;198.696
Todas las edades;Total;Argentina;1 de abril de 2003;""
Todas las edades;Total;Argentina;1 de enero de 2003;177.863
Todas las edades;Total;Argentina;1 de octubre de 2002;""
Todas las edades;Total;Argentina;1 de julio de 2002;147.040
Todas las edades;Total;Argentina;1 de abril de 2002;""
Todas las edades;Total;Argentina;1 de enero de 2002;111.705
